!gaf-version: 2.2
!generated-by: Yusheng Yang
!date-generated: 2025-10-29
!URL: https://www.pombase.org/monthly_releases/2025/pombase-2025-09-01/phenotypes_and_genotypes/pombase_phenotype_annotation.phaf.tsv
!contact: yangyusheng@nibs.ac.cn
PomBase	SPCC576.10c	rpt3		FYPO:0000311	PMID:23697806	microscopy evidence		FYPO	inviable after spore germination with normal, unseptated germ tube morphology		protein	taxon:4896	20120101	PomBase		
PomBase	SPCC576.10c	rpt3		FYPO:0002061	PMID:20473289	microscopy evidence		FYPO	inviable vegetative cell population		protein	taxon:4896	20100406	PomBase		
PomBase	SPCC576.10c	rpt3		FYPO:0002061	PMID:23697806	microscopy evidence		FYPO	inviable vegetative cell population		protein	taxon:4896	20120101	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0003743	PMID:37787768	cell growth assay evidence		FYPO	decreased cell population growth during glucose starvation		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0000245	PMID:34250083	cell growth assay evidence		FYPO	loss of viability in stationary phase		protein	taxon:4896	20210811	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0000763	PMID:37787768	cell growth assay evidence		FYPO	resistance to cadmium		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0000764	PMID:37787768	cell growth assay evidence		FYPO	resistance to cycloheximide		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0000764	PMID:37787768	cell growth assay evidence		FYPO	resistance to cycloheximide		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0009038	PMID:37787768	cell growth assay evidence		FYPO	resistance to egtazic acid		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0009070	PMID:37787768	cell growth assay evidence		FYPO	resistance to itraconazole		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0001583	PMID:37787768	cell growth assay evidence		FYPO	resistance to lithium		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0009085	PMID:37787768	cell growth assay evidence		FYPO	resistance to lithium chloride and sodium dodecyl sulfate		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0009043	PMID:37787768	cell growth assay evidence		FYPO	resistance to potassium chloride and sodium dodecyl sulfate		protein	taxon:4896	20230628	PomBase		
PomBase	SPCC1902.02	mug72		FYPO:0009043	PMID:37787768	cell growth assay evidence		FYPO	resistance to potassium chloride and sodium dodecyl sulfate		protein	taxon:4896	20230628	PomBase		
